record_id,frame,ctu_x,ctu_y,merge_flag,candidate_count,merge_idx,usable
139,38,4,1,1,3,0,1
140,39,9,6,1,5,1,1
141,39,1,0,1,2,0,1
142,39,3,1,1,5,0,1
143,39,5,2,1,2,1,1
144,40,0,6,1,4,0,1
145,40,2,0,1,2,1,1
146,40,4,1,1,5,1,1
147,40,6,2,1,2,0,1
148,41,1,6,1,3,0,1
149,41,3,0,1,2,1,1
150,41,5,1,1,3,0,1
151,41,7,2,1,2,0,1
152,42,2,0,1,5,0,1
153,42,4,1,1,3,1,1
154,42,6,2,1,5,1,1
155,42,8,3,1,2,1,1
156,43,3,0,1,3,1,1
157,43,5,1,1,5,0,1
158,43,7,2,1,5,0,1
159,43,9,3,1,5,0,1
160,44,4,0,1,3,0,1
161,44,6,1,1,5,1,1
162,44,8,2,1,2,0,1
163,44,0,3,1,2,1,1
164,45,5,1,1,3,1,1
165,45,7,2,1,2,1,1
166,45,9,3,1,2,1,1
167,45,1,4,1,2,1,1
168,46,6,1,1,2,0,1
169,46,8,2,1,2,1,1
170,46,0,3,1,3,1,1
171,46,2,4,1,4,0,1
172,47,7,1,1,2,0,1
173,47,9,2,1,2,0,1
174,47,1,3,1,3,1,1
175,47,3,4,1,4,1,1
176,48,8,2,1,2,0,1
177,48,0,3,1,5,1,1
178,48,2,4,1,5,1,1
179,48,4,5,1,4,0,1
180,49,9,2,1,4,1,1
181,49,1,3,1,5,0,1
182,49,3,4,1,3,0,1
183,49,5,5,1,4,0,1
184,50,0,2,1,5,0,1
185,50,2,3,1,2,1,1
186,50,4,4,1,2,1,1
187,50,6,5,1,4,0,1
188,51,1,3,1,3,0,1
189,51,3,4,1,3,0,1
190,51,5,5,1,2,0,1
191,51,7,6,1,4,1,1
192,52,2,3,1,3,0,1
193,52,4,4,1,3,1,1
194,52,6,5,1,5,1,1
195,52,8,6,1,2,0,1
196,53,3,3,1,4,1,1
197,53,5,4,1,2,1,1
198,53,7,5,1,2,1,1
199,53,9,6,1,2,0,1
200,54,4,4,1,3,0,1
201,54,6,5,1,2,1,1
202,54,8,6,1,2,1,1
203,54,0,0,1,2,0,1
204,55,5,4,1,2,1,1
205,55,7,5,1,2,1,1
206,55,9,6,1,5,1,1
207,55,1,0,1,4,0,1
208,56,6,4,1,2,0,1
209,56,8,5,1,2,1,1
210,56,0,6,1,5,1,1
211,56,2,0,1,4,0,1
212,57,7,5,1,3,0,1
213,57,9,6,1,4,1,1
214,57,1,0,1,4,0,1
215,57,3,1,1,5,1,1
216,58,8,5,1,5,0,1
217,58,0,6,1,2,1,1
218,58,2,0,1,3,1,1
219,58,4,1,1,4,0,1
220,59,9,5,1,2,1,1
221,59,1,6,1,4,1,1
222,59,3,0,1,2,0,1
223,59,5,1,1,2,0,1
224,60,0,6,1,2,0,1
225,60,2,0,1,4,1,1
226,60,4,1,1,5,1,1
227,60,6,2,1,5,1,1
228,61,1,6,1,3,1,1
229,61,3,0,1,3,1,1
230,61,5,1,1,5,0,1
231,61,7,2,1,3,1,1
232,62,2,6,1,4,1,1
233,62,4,0,1,2,1,1
234,62,6,1,1,2,1,1
235,62,8,2,1,5,0,1
236,63,3,0,1,2,0,1
237,63,5,1,1,2,0,1
238,63,7,2,1,3,2,1
239,63,9,3,1,4,3,1
240,64,4,0,1,5,1,1
241,64,6,1,1,4,3,1
242,64,8,2,1,4,1,1
243,64,0,3,1,5,2,1
244,65,5,0,1,3,2,1
245,65,7,1,1,2,0,1
246,65,9,2,1,2,1,1
247,65,1,3,1,3,0,1
248,66,6,1,1,4,3,1
249,66,8,2,1,4,0,1
250,66,0,3,1,5,1,1
251,66,2,4,1,4,0,1
252,67,7,1,1,3,2,1
253,67,9,2,1,5,1,1
254,67,1,3,1,3,0,1
255,67,3,4,1,4,1,1
256,68,8,1,1,2,1,1
257,68,0,2,1,2,0,1
258,68,2,3,1,3,0,1
259,68,4,4,1,3,2,1
260,69,9,2,1,3,2,1
261,69,1,3,1,2,1,1
262,69,3,4,1,3,1,1
263,69,5,5,1,4,1,1
264,70,0,2,1,2,0,1
265,70,2,3,1,2,1,1
266,70,4,4,1,4,0,1
267,70,6,5,1,4,1,1
268,71,1,2,1,4,2,1
269,71,3,3,1,5,4,1
270,71,5,4,1,5,3,1
271,71,7,5,1,2,1,1
272,72,2,3,1,3,0,1
273,72,4,4,1,2,1,1
274,72,6,5,1,2,1,1
275,72,8,6,1,2,1,1
276,73,3,3,1,5,2,1
277,73,5,4,1,5,4,1
278,73,7,5,1,3,0,1
279,73,9,6,1,2,0,1
280,74,4,3,1,5,1,1
281,74,6,4,1,3,1,1
282,74,8,5,1,2,0,1
283,74,0,6,1,2,0,1
284,75,5,4,1,2,0,1
285,75,7,5,1,2,0,1
286,75,9,6,1,2,0,1
287,75,1,0,1,4,2,1
288,76,6,4,1,3,1,1
289,76,8,5,1,2,1,1
290,76,0,6,1,5,3,1
291,76,2,0,1,5,1,1
292,77,7,4,1,4,3,1
293,77,9,5,1,5,0,1
294,77,1,6,1,4,3,1
295,77,3,0,1,4,1,1
296,78,8,5,1,4,0,1
297,78,0,6,1,2,1,1
298,78,2,0,1,5,0,1
299,78,4,1,1,4,3,1
300,79,9,5,1,2,1,1
301,79,1,6,1,2,0,1
302,79,3,0,1,4,2,1
303,79,5,1,1,5,1,1
304,80,0,5,1,2,0,1
305,80,2,6,1,3,0,1
306,80,4,0,1,3,2,1
307,80,6,1,1,2,1,1
308,81,1,6,1,5,4,1
309,81,3,0,1,2,0,1
310,81,5,1,1,2,0,1
311,81,7,2,1,2,1,1
312,82,2,6,1,5,2,1
313,82,4,0,1,4,3,1
314,82,6,1,1,3,1,1
315,82,8,2,1,2,1,1
316,83,3,6,1,2,0,1
317,83,5,0,1,2,0,1
318,83,7,1,1,3,1,1
319,83,9,2,1,3,1,1
